phrase,PQP,auxiliary,verb,marker,translation,group
j'en ai même dans ma famille qui ne demandaient absolument rien qui ont touché qui ont touché des des des soldes après qui se demandaient d'où que ça venait qui l'avaient jamais demandé,ma famille qui l'avaient jamais demandé,avoir,demander,jamais,never,never
oui euh c'était pas vous qui étiez venus une fois déjà non ?,vous qui étiez venus une fois déjà,être,venir,une fois,one time,once
parce que moi elle m'avait dit à sept heures et demie,elle m'avait dit à sept heures et demie,avoir,dire,à sept heures et demie,at seven thirty,once
euh c'est vrai qu'on les entend plus l'été comme j'ai jamais su si c'était des oiseaux qui migraient ou pas je ne sais pas euh mais là là parfois le soir quand il y a pas trop de bruit dans la rue on les entend bien chasser hein c'est c'est assez étonnant d'ailleurs parce que moi j'ai j'ai une une dame là dans le quartier qui habite rue du Père Corentin au dernier étage d'un d'un immeuble récent donc elle a une petite terrasse et un jour elle m'avait invitée chez elle,un jour elle m'avait invitée,avoir,inviter,un jour,one day,once
puis quand j'avais vu un jour sur le journal,j'avais vu un jour,avoir,voir,un jour,one day,once
et euh un week-end ils avaient proposé aux gens ouais de passer et donc y avait gâteaux champagne boissons,un week-end ils avaient proposé,avoir,proposer,un week-end,one weekend,once
et un jour elle avait dû discuter discuter,un jour elle avait dû,avoir,devoir,un jour,one day,once
de toute façon le ministre à un moment s'était exprimé avait dit que bon on n'était pas euh,le ministre à un moment s'était exprimé,être,s’exprimer,un moment,one moment,once
de toute façon le ministre à un moment s'était exprimé avait dit que bon on n'était pas euh,le ministre à un moment avait dit,avoir,dire,un moment,one moment,once
ils se répètent et ta soeur et ta soeur ça va ça va voilà c'est comme ça en face c'est vraiment marrant hein et bon je me suis dit un jour faudrait quand même que je pose la question parce que je comprenais pas mais bon c'est c'est vrai que cette communauté-là ils frayent pas trop mais peut-être dans les milieux associatifs on arrive à les moi j'avais un peu envie de faire de l'aide à aux devoir pour les petits enfants maliens une fois je m'étais dit je pourrais faire ça quand même et puis bon j'ai pas,une fois je m'étais dit,être,se dire,une fois,one time,once
dans le dans le comment dans l'immeuble en face les gens euh comment dire comment vous expliquer le malaise que j'ai ressenti je me suis sentie un petit peu diminuée est-ce que ça vient de moi peut-être mais je me suis pas sentie acceptée même par les gens d'en-dessous quand je suis a- je suis venue pour un peu de bruit j'avais un mot sur ma porte vous devriez faire attention vos enfants font du bruit euh euh quand François joue aux billes sur le balcon j'ai eu des réflexions euh quand j'avais mis mes j'avais oublié une fois mon linge comment ça s'appelle mes lits vous savez j'avais mis mes draps à l'air et tout je l'avais oublié eh bah j'ai eu des réflexions par le syndic,j'avais oublié une fois,avoir,oublier,une fois,one time,once
euh donc on a été un petit peu sur l'avenue d'Italie et je savais que mon bar était euh alors je savais qu'une fois j'y avais été en allant à Montparnasse puis j'avais pris la ligne 13 si j'ai bien métro Pernetty oui c'est ça donc en gros je savais que c'était vers la gauche de euh de l'avenue d'Italie donc au bout d'un moment pas trop longtemps on a pris à gauche en me disant que euh en me repérant par rapport à la Tour Montparnasse en allant à gauche je finirai pas trouver la ligne 13 mais c'était un petit bout en fait beaucoup plus loin que ce que j'avais prévu on a marché on a marché on a marché euh donc on a été jusqu'au parc,une fois j'y avais été,avoir,être,une fois,one time,once
non on avait fait une fois,on avait fait une fois,avoir,faire,une fois,one time,once
une fois j'avais fait un il y avait des ateliers d'artistes une journée de,une fois j'avais fait,avoir,faire,une fois,one time,once
ah oui j'avais postulé à je veux je veux vous dire aussi ça parce que une fois j'avais postulé à la Marine Nationale,une fois j'avais postulé,avoir,postuler,une fois,one time,once
j'au- j'en avais fait une fois en France je crois et alors quand on a acheté ces ces,j'en avais fait une fois,avoir,faire,une fois,one time,once
vous vous souvenez pas jusqu'à quelle époque il avait été à la guerre ?,quelle époque il avait été,avoir,être,quelle époque,how long,during
il m'a répondu que les années qu'il avait passées alors que maintenant c'est quand même un professeur,il avait passées alors,avoir,passer,alors que,while,during
c'est entre nous à un moment donné et nous on en avait parlé depuis longtemps parce que c'était même l'ancienne municipalité d'ailleurs à l'époque et euh moi je l'avais demandé à l'ancien maire et à un moment donné il nous avait dit ah oui mais vous savez c'est quand même un coût important donc je lui ai dit oui comme si à Paris il y avait pas énormément de choses qui avaient demandé un coût important et qui avaient pas été faites et qui sont pas toujours très utiles mais j'ai dit nous ça nous sera agréable dans le quartier d'avoir euh parce qu'il faut dire que bon avant qu'on ait cette petite place donc ils ont étendu là la pointe des deux rues euh il y avait quand même un amoncellement par moments de voitures garées là au bout c'était quand même,on en avait parlé depuis longtemps,avoir,parler,depuis longtemps,for a long time,during
précaires précaires précaires dans la précarité euh bon donc j'avais été relogée ici entre temps mon il y a eu des différents familiaux c'est assez graves puisque mon mari s'était mis enfin mon le père de mon fils s'est mis à boire donc ça veut dire que il y a eu séparation et je peux dire que moi j'ai un fils qui est né dans le chômage et qui a vécu dans le chômage et dans le RMI avec un parcours,j'avais été relogée ici entre temps,avoir,être reloger,entre temps,in the meantime,during
oui alors les propriétaires entre temps avaient changé plusieurs fois et c'était devenu une compagnie d'assurances,les propriétaires entre temps avaient changé,avoir,changer,entre temps,in the meantime,during
très bien on l'a eu le devis mais entre temps j'étais partie chercher quelqu'un d'autre,entre temps j'étais partie,être,partir,entre temps,in the meantime,during
mais mon mari avait été longtemps permanent syndical,mon mari avait été longtemps,avoir,être,longtemps,long time,during
mais ça faisait très très longtemps que j'avais pas été au Parc Floral,ça faisait très très longtemps que j'avais pas été,avoir,être,longtemps (très très),long time (very very),during
il avait été pendant dix ans officier de légion,il avait été pendant dix ans,avoir,être,pendant dix ans,for ten years,during
en fait j'avais entendu cette consonance et puis je l'avais répétée très longtemps et puis,puis je l'avais répétée très longtemps,avoir,répéter,longtemps (très),long time (very),during
